"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-06-19 10:12:16","Dra. Soami Santiago","Departamento de Desarrollo Económico y Comercio","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Leguaje avanzado"
"2020-06-19 10:12:00","Soami Santiago","CDIPC","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-19 10:11:58","Prof. Soami Santiago","Comisión Industrial de PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-19 10:11:49","Soemi Santiago ","Compañía de Turismo","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-19 10:11:49","Soami Santiago De Snyder","Departamento de Justicia ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-06-12 10:30:11","Soami Santiago de Snyder","Negociado en el Transporte y Otro Servicio Publico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-12 10:28:34","Dra. Soamy Santiago de Snyder","Negociado de Transporte y Otros Servicios Publicos","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","","","Regular (2)","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-12 10:19:36","Dra. Soami Santiago","Autoridad de Acueductos y Alcantarillados","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","EXCELENTE!","Sí","La continuación del curso."
"2020-06-12 10:19:30","Dra. Soami Santiago","Departamento de Desarrollo Económico y Comercio","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Lenguaje de Señas Avanzado"
"2020-06-12 10:19:21","DRA. SOAMI SANTIAGO","DEPARTAMENTO DE EDUCACIÓN","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","ME AYUDA A USARLO EN MI TRABAJO CON MI PARTICIPANTES","Sí","TODOS LOS QUE ESTEN DISPONIBLES PARA CONOCIMIENTO Y CRECIMIENTO PROFESIONAL"
"2020-06-12 10:19:13","Soami Santiago","Administracion de Vivienda Publica","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-12 10:18:21","SAOMI SANTIAGO","ADMINISTRACION DE VIVIENDA PUBLICA","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","EN MI AREA NO HAY NADIE QUE HABLE LENGUAJE DE SEÑAS.","EXPLICA MUY BIEN","LOS QUE HAYA DISPONIBLE"
"2020-06-12 10:17:43","Soami Santiago","UPR-Rio Piedras","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Administración de Oficinas"
"2020-06-12 10:17:37","Soemi Santiago ","Compañía de Turismo","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Idiomas"
"2020-06-12 10:17:16","soami santiago","upr","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","para tener contacto con personas sordas","lenguaje en sena",""
"2020-06-12 10:17:06","Soami Santiago De Snyder","Departamento de Justicia ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-12 10:16:54","Prof. Soami Santiago","Comisión Industrial de PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-12 10:16:41","Soami Santiago","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-12 10:16:36","Soami Santiago","CDIPC","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-06-05 10:19:30","Soami Santiago De Snyder","Autoridad de Acueductos y Alcantarillados","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Me encantó la clase de hoy.   Muy interesante, explica excelente.","Sí","La continuación del curso con la misma doctora."
"2020-06-05 10:18:46","Dra. Soamy Santiago de Snyder","Negociado de Transporte y Otros Servicios Publicos","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-06-05 10:16:57","Soami Santiago De Snyder","Compañía para el Desarrollo Integral Península de Cantera","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-05 10:16:03","Soami Santiago De Snyder","Departamento de Justicia ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-05 10:05:57","Soami Santiago","Administracion de Vivienda Publica","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-05 09:59:46","Dra. Soami Santiago","Departamento de Educación","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Me ayuda mucho por que mi clientelka sonb estudantes.","Sí","Todos los que den para conocimiento profesional."
"2020-06-05 09:58:12","Prof. Soami Santiago","Comisión Industrial de PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-05 09:57:52","SAOMI SANTIAGO","ADMINISTRACION DE VIVIENDA PUBLICA","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-05 09:56:40","Soami Santiago","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-05 09:56:29","Soami Santiago","CDIPC","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-29 10:24:48","Dra. Soamy Santiago de Snyder","Negociado de Transporte y Otros Servicios Publicos","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Actualmente en la Agencia que trabajo no cuentan con personal preparado para atender a esta población.","Sí","Microsoft office (Excel, Word)"
"2020-05-29 10:24:01","Dra. Soami Santiago De Snyder","Autoridad de Acueductos y Alcantarillados","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Explicó excelente!","Sí","Luego de finalizar el curso de lenguaje de seña básico el poder continuar con el intermedio.  Este curso es de gran utilidad para mi.  Gracias por tan excelente recurso."
"2020-05-29 10:22:38","Soami Santiago De Snyder","Departamento de Justicia ","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-29 10:20:04","Dra. Soami Santiago","Departamento de Desarrollo Economico y Comercio","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","Lenguaje de señas avanzado"
"2020-05-29 10:19:38","Prof. Soami Santiago","Comisión Industrial de PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
