"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-07-03 10:14:11","Soami","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-07-03 10:13:26","Soami Santiago De Snyder","Autoridad para el Redesarrollo de Roosevelt Roads","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:16:59","Dra. Soami Santiago","Autoridad de Acueductos y Alcantarillados","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Es muy bueno para el uso diario.","Sí","Seguir aprendiendo de lenguaje en señas"
"2020-06-26 10:16:40","DRA. SOAMI SANTIAGO","DEPARTAMENTO DE EDUCACION","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","POR MI TIPO DE TRABAJO ES DE MUCHO BENEFICIO","Sí","TODOS LOS QUE AYUDEN A CRECER PROFESIONALMENTE"
"2020-06-26 10:16:15","Soami Santiago De Snyder","Autoridad para el Redesarrollo de Roosevelt Roads","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:15:38","Soami Santiago de Snyder","Sistema de Retiro para Maestros","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Si, espero poder ayudar a cualquier persona que venga a mi trabajo y necesite comunicarse por medio de lenguaje de señas","Sí","Project Management, Six Sigma para Gobierno, "
"2020-06-26 10:15:11","Prof. Soami Santiago","Comisión Industrial de PR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:14:01","Soami Santiago","Adminitración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:13:49","Soemi Santiago ","Compañía de Turismo","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:13:35","soami santiago","upr","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","en el area laboraly personal","Sí",""
"2020-06-26 10:12:56","Dra. Soamy Santiago de Snyder","Negociado de Transporte y Otros Servicios Publicos","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:11:37","Soami Santiago","CDIPC","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Mucha información","Sí",""
"2020-06-26 10:09:48","Soami","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-26 10:09:33","Soami Santiago de Snyder","Negociado en el Transporte y Otro Servicio Publico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-19 10:17:31","Dra. Soami Santiago de Snyder","Sistema de Retiro para Maestros","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Para efectos de mi trabajo y mi vida personal entiendo que poder comunicarse efectivamente con todo el mundo es lo más importente. Este curso me permitirá poder ayudar a más personas aún en cualquier sitio.","Sí","Certificación de Six Sigma en el Gobierno. Certificaciones Profesionales de Mediación y Conflictos. Certificaciones Profesionales dirigidas al Manejo de Proyectos y a poder pasar el examen de PR. Francés conversacional. Lenguaje de señas en el Tribunal o para abogados. Como leer etiquetas adecuadamente y nutrición."
"2020-06-19 10:16:10","Dra. Soamy Santiago de Snyder","Negociado de Transporte y Otros Servicios Publicos","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-19 10:16:08","Soami Santiago de Snyder","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-06-19 10:13:12","DRA. SOAMI SANTIAGO","DEPARTAMENTO DE EDUCACIÓN","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","TODOS LOS NECESARIOS P[ARA CRECIMIENTO PROFESIONAL"
"2020-06-19 10:13:00","Soami Santiago De Snyder","Autoridad para el Redesarrollo de Roosevelt Roads","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí","depende... "
"2020-06-19 10:12:20","Soami ","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
