"Submission Date","Nombre del Instructor:","Agencia de Procedencia:","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Excelente (4)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Bueno (3)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Regular (2)","Criterios de evaluación: >> El instructor cumplió con los objetivos del curso. >> Deficiente (1)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Excelente (4)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Bueno (3)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Regular (2)","Criterios de evaluación: >> El instructor posee dominio de la materia.  >> Deficiente (1)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Excelente (4)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Bueno (3)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Regular (2)","Criterios de evaluación: >> El instructor utilizó materiales y estrategias de enseñanza ... >> Deficiente (1)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Excelente (4)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Bueno (3)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Regular (2)","Criterios de evaluación: >> La información fue presentada en forma clara y organizada.  >> Deficiente (1)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Excelente (4)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Bueno (3)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Regular (2)","Criterios de evaluación: >> El instructor demostró disposición y buena actitud para acla... >> Deficiente (1)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Excelente (4)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Bueno (3)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Regular (2)","Criterios de evaluación: >> La condición del salón y las facilidades o el espacio virtua... >> Deficiente (1)","¿Considera que lo aprendido en esta actividad le ayudará en el desempeño de sus funciones y responsabilidades diarias en forma efectiva?","Explique:","¿Tomaría otros cursos con este instructor?","¿Qué otros cursos y/o adiestramientos le gustaría tomar a través de la Alianza con la Universidad dePuerto Rico?"
"2020-05-08 10:29:50","Julio Cotto Delgado","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","","Regular (2)","","Sí","El tema fue interesante. Lo único es que no se vio la presentación.   Gracias por enviarls","Sí","Computadora como Excel"
"2020-05-08 10:29:11","Dr. Julio Cotto","Departamento de La Vivienda","","","Regular (2)","","","","Regular (2)","","","","Regular (2)","","","","Regular (2)","","","","Regular (2)","","","","Regular (2)","","No","No escuche nada, ni por la laptop, ni pc, ni cel. Entrando y saliendo para poder obtener un audio.","Si utlizan otras plataformas que no den tanto problema, estamos bien.","Todos lo que se puedan, siempre y cuando se puedan escuchar."
"2020-05-08 10:27:05","Julio Cotto","Administración de Vivienda Pública","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:26:47","Julio Cotto","AIDH","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Si, para manejar mejor mi tiempo y saber distribuir mi tiempo.","Sí","EXCEL ACCESS MODO CORRECTO DE ARCHIVAR MANEJO DEL INTERNET"
"2020-05-08 10:25:35","Julio Cotto","OFICINA PROCURADOR DEL PACIENTE","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","","","","Sí","","JULIO COTTO",""
"2020-05-08 10:25:31","Julio Cotto Delgado","Oficina del Inspector General de Puerto Rico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí",""
"2020-05-08 10:25:27","Julio Cotto","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","La información presentada será de gran utilidad para desempeñarnos en un ambiente de trabajo cambiante y desconocido para muchos trabajadores.","Sí","¿Cómo lidiar y ayudar a compañeros que confrecuencia muestran actitudes pesimistas ante las situaciones retantes que enfrentamos actualmente y hacia el trabajo diario?"
"2020-05-08 10:25:09","Julio Torres","Adm de la Ind. y el Deporte Hipico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Aprendi a manejar mejor mi tiempo.","Es claro y preciso","Se estara revisando el catalogo de adietramiento"
"2020-05-08 10:24:41","Julio Cotto","UPR HUMACAO","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:24:37","JULIO COTTO","DEPARTAMENTO DE HACIENDA","","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","Ayudo en recordar que si en la oficina temenos que utilizer esa misma metodologia de cumplimiento en los  objetivos  en nuestros hogares.","Sí","Los que me ayuden en el desarrollo d.e estas destrezas, de trabajo a distancia"
"2020-05-08 10:24:35","Julio Cotto Delgado","OIG","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Sí, para la adaptación en nuestra nueva realidad laboral.","Excelente.","Seguridad en la información."
"2020-05-08 10:21:46","","Instituto de Cultura Puertorriqueña","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","","","Deficiente (1)","Sí","Esta actividad me ayudará a organizarme mejor ante los retos del trabajo remoto.","Sí","Mindfulness  Manejo de las redes sociales  Retos del trabajo remoto"
"2020-05-08 10:20:44","Julio Cotto Delgado","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Conciso, preciso y directo al grano.",""
"2020-05-08 10:20:33","Julio Cotto","AFI","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:20:31","Julio Cotto","Oficina del Inspector General","","Bueno (3)","","","Excelente (4)","","","","","Bueno (3)","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","","Sí","Inteligencia  Emocional"
"2020-05-08 10:19:47","Julio Cotto","DCR","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Posiblemente realizo las estrategias inconsciente no obstante el taller me dio la oportunidad de realizar mi practica en el manejo del tiempo.  Por lo que optimizare el mismo ante las técnicas aprendidas.","Sí","Presentamos dificultad en conectarnos al taller.  Puede ser falta de nuestro conocimiento en las distintas plataformas.  Para adiestramientos, reuniones entre otros.   Se que es el cambio del momento. "
"2020-05-08 10:19:24","Julio Cotto, Sicologo Industrial","Oficina del Inspector General","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","","Sí",""
"2020-05-08 10:18:40","Julio Cotto","Oficina del Procurador del Paciente","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","A organizarme más...","Sí",""
"2020-05-08 10:18:37","Julio Cotto","OIG","","Bueno (3)","","","","Bueno (3)","","","","Bueno (3)","","","","","Regular (2)","","Excelente (4)","","","","","","Regular (2)","","Sí","","Sí","No pude ver la presentación.  Deberian de determiner porque algunos la pueden ver y otros no.  Gracias."
"2020-05-08 10:18:06","Julio Cotto","Adm. Ind. y Deporte Hípico","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","A dividir las tareas segun la prioridad","Sí",""
"2020-05-08 10:18:04","Julio Cotto","Oficina del Procurador del Paciente","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Sí","En la distribución de las muchas tareas que nos corresponde hacer.","Sí","Supervision servicios a clientes"
"2020-05-08 10:17:48","Julio Coto","UPR Humacao","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","Excelente (4)","","","","","Bueno (3)","","","Sí","Nos ayuda a mejorar la organización de tareas en este momento de teletrabajo a distancia.","Sí","Todos los relacionados al recibido en el día de hoy, y en adición excel, word ambos intermedios"
